Age,mg25_ppm
64026,372.232229
64027,392.2660962
64028,409.4495464
64029,401.8826225
64030,367.9095768
64031,379.7916273
64032,411.1054401
64033,476.2138251
64034,496.7052019
64035,470.104312
64036,424.3343426
64037,391.5665451
64038,382.8705777
64039,412.3492846
64040,442.7896664
64041,486.6385853
64042,502.7555206
64043,480.9704693
64044,458.6243883
64045,451.6739602
64046,461.7143654
64047,460.5900182
64048,456.4135692
64049,453.7548648
64050,462.4812931
64051,461.628044
64052,450.528771
64053,497.38045
64054,551.555624
64055,564.2710708
64056,578.1825821
64057,576.2834163
64058,581.6924035
64059,620.2046164
64060,666.360991
64061,728.93444
64062,788.308056
64063,772.7614433
64064,737.915478
64065,713.1161042
64066,735.1601044
64067,820.0412806
64068,882.4006321
64069,886.022614
64070,888.8686264
64071,910.5711874
64072,986.948016
64073,1040.749887
64074,1068.036831
64075,1109.241591
64076,1149.889841
64077,1225.295788
64078,1293.261889
64079,1317.051816
64080,1317.264108
64081,1303.478246
64082,1323.737242
64083,1345.746433
64084,1291.565014
64085,1244.976076
64086,1236.962068
64087,1228.527525
64088,1205.1589
64089,1121.795592
64090,1049.574941
64091,1039.297965
64092,1027.491251
64093,985.2191508
64094,943.2841184
64095,918.912008
64096,930.3949158
64097,941.6217722
64098,928.4603289
64099,914.8284545
64100,975.2681882
64101,1028.650536
64102,1040.401116
64103,997.8229314
64104,946.5474217
64105,965.4384762
64106,1012.973354
64107,1014.668033
64108,972.7348601
64109,912.7576112
64110,872.6762017
64111,898.3377968
64112,948.927335
64113,958.8426079
64114,964.0864024
64115,962.1598413
64116,949.0264417
64117,941.8537671
64118,900.6411527
64119,871.2018258
64120,890.6504337
64121,883.0939134
64122,887.0402589
64123,897.7979039
64124,909.5962949
64125,896.658526
64126,873.2526956
64127,893.6666404
64128,940.7008634
64129,1003.627292
64130,1076.671885
64131,1118.641928
64132,1135.215306
64133,1103.227597
64134,1111.124681
64135,1189.697572
64136,1229.652316
64137,1231.725274
64138,1332.404669
64139,1424.231556
64140,1487.037384
64141,1426.027883
64142,1364.083364
64143,1339.181711
64144,1397.212724
64145,1408.747547
64146,1462.394443
64147,1501.150515
64148,1514.75998
64149,1473.347847
64150,1447.554
64151,1423.133009
64152,1437.640809
64153,1445.732128
64154,1436.383014
64155,1442.953798
64156,1462.303816
64157,1461.694142
64158,1434.131605
64159,1415.538642
64160,1438.562261
64161,1476.490458
64162,1484.935209
64163,1433.595677
64164,1382.571468
64165,1377.143948
64166,1385.570812
64167,1391.330152
64168,1364.07995
64169,1319.167527
64170,1280.892256
64171,1309.170028
64172,1342.735973
64173,1305.432634
64174,1254.412309
64175,1261.950487
64176,1296.825566
64177,1321.941929
64178,1280.678565
64179,1260.631369
64180,1244.512908
64181,1219.756635
64182,1178.199995
64183,1196.16065
64184,1244.018734
64185,1242.467796
64186,1194.427436
64187,1197.430871
64188,1216.207335
64189,1232.578881
64190,1196.28577
64191,1143.028632
64192,1107.933074
64193,1108.460498
64194,1107.981992
64195,1136.363382
64196,1167.998367
64197,1147.64814
64198,1084.194317
64199,1041.264479
64200,1039.796948
64201,1056.915071
64202,1031.630619
64203,992.9425937
64204,981.2992704
64205,1003.190307
64206,1040.378312
64207,1056.082083
64208,1032.10174
64209,990.8341558
64210,938.3666724
64211,942.887075
64212,1012.470956
64213,1077.692286
64214,1091.014899
64215,1069.995135
64216,1047.008024
64217,1030.180158
64218,1001.726961
64219,972.7617195
64220,987.327068
64221,1018.015709
64222,987.4277218
64223,942.0463142
64224,939.9679362
64225,991.2253123
64226,1016.828375
64227,1003.951185
64228,948.9406095
64229,934.402064
64230,935.7976972
64231,974.0892729
64232,989.6015563
64233,989.6215624
64234,950.5705663
64235,941.5535613
64236,962.8983457
64237,1013.615233
64238,1035.724468
64239,1019.750317
64240,958.1837622
64241,905.2910882
64242,898.7688238
64243,926.6619828
64244,972.7908219
64245,1000.289386
64246,1031.389683
64247,1062.833201
64248,1129.373439
64249,1247.667949
64250,1399.069085
64251,1544.149534
64252,1655.916704
64253,1695.617524
64254,1738.543184
64255,1836.668698
64256,1906.026371
64257,1956.366046
64258,1950.635252
64259,1933.077358
64260,1948.175343
64261,1941.111454
64262,1905.390594
64263,1943.759456
64264,1969.854621
64265,1978.447921
64266,2063.081376
64267,2094.017776
64268,2076.026108
64269,2045.236945
64270,2003.569429
64271,2015.322464
64272,1962.03463
64273,1825.356776
64274,1712.387055
64275,1623.466511
64276,1541.902849
64277,1517.968813
64278,1534.859379
64279,1550.003544
64280,1524.62327
64281,1458.419649
64282,1393.782575
64283,1359.669165
64284,1278.515935
64285,1206.437876
64286,1151.490707
64287,1106.649915
64288,1104.291213
64289,1076.68893
64290,1039.510136
64291,1039.745866
64292,1038.963127
64293,1054.390001
64294,1052.329779
64295,1026.495359
64296,1001.132861
64297,974.8625361
64298,941.0132283
64299,960.1155669
64300,1002.990516
64301,1057.360678
64302,1105.777768
64303,1128.62275
64304,1147.670929
64305,1140.344516
64306,1107.637067
64307,1110.956725
64308,1148.650274
64309,1215.032118
64310,1216.997038
64311,1148.258441
64312,1119.02867
64313,1110.399538
64314,1095.950558
64315,1111.606484
64316,1081.188797
64317,1103.250849
64318,1119.48245
64319,1104.603235
64320,1138.664944
64321,1160.665917
64322,1130.609244
64323,1109.358897
64324,1082.596606
64325,1075.57202
64326,1020.758899
64327,990.0473492
64328,1009.172351
64329,1038.716218
64330,1059.586258
64331,1071.084839
64332,1110.66379
64333,1141.349987
